"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_sp_N6H1_15",4.86852447259688,3.60640368605704,1.34996658621979,0.177026701143043,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae",-0.775295749442858,0.574522361175564,-1.34946139930303,0.177188810835163,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_thermophilus",-1.20738926351462,0.898629982133337,-1.34358889367155,0.179081362919144,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Monoglobus",1.02281021327179,0.762079786502409,1.34213009108405,0.179553818693404,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Monoglobus.s__Monoglobus_pectinilyticus",1.02281021327179,0.762079786502409,1.34213009108405,0.179553818693404,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium",-0.801447334485036,0.599384468953459,-1.33711728614588,0.181184355503709,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",0.0592566745900709,0.044432887281208,1.3336219682292,0.182327779607324,"location"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum",-76.2031285984055,57.3297416317443,-1.32920760550246,0.183779486582424,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL309",14.7443659857484,11.1147463710779,1.32655892392788,0.184654631212546,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii",-0.40161623549938,0.304647661771887,-1.31829744946508,0.187404094433812,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum",0.11559523363675,0.0882053107137468,1.31052464643418,0.190018412086102,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus",0.207747333161117,0.15999051146212,1.29849783754397,0.194116318934354,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae",1.04662250874779,0.807202008467302,1.29660543181142,0.19476698255704,"location"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis",1.20895644594652,0.932486342249072,1.29648702739241,0.194807746528115,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified",0.107004187851071,0.0825471411036365,1.29627975506419,0.194879120782678,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella",-2.13389539288771,1.65649714487206,-1.28819744694007,0.197677240495154,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella_lenta",-2.13389539288771,1.65649714487206,-1.28819744694007,0.197677240495154,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_lavalense",-8.6770996767466,6.75181594447521,-1.28515050589417,0.19873969530788,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Fusicatenibacter",-0.404912201364689,0.315688667118813,-1.28263141360185,0.199621239148473,"location"
