"term","estimate","std.error","statistic","p.value"
"s__Clostridium_citroniae",-31.4385600172904,15.6594997288634,-2.0076350178252,0.0446820905582451
"s__Acidaminococcus_intestini",-0.605029703599002,0.310249392482276,-1.95013984961652,0.0511594527223635
"s__Bacteroides_ovatus",0.200015974624169,0.108789276303321,1.83856333473984,0.0659794383088407
"s__Bilophila_wadsworthia",5.94674358604129,3.35863060530064,1.77058577881594,0.0766296085343297
"s__Alistipes_finegoldii",0.278307899680087,0.159294268830545,1.7471306514872,0.0806146776082058
"s__Streptococcus_parasanguinis",-3.39300461996639,2.03994057995264,-1.66328600612728,0.0962551985496646
"s__Bacteroides_dorei",-0.179267480775669,0.109417620124625,-1.63837854059963,0.101342752845133
"s__Fusicatenibacter_saccharivorans",-0.345409693270553,0.214370658848595,-1.61127318041462,0.107120193627622
"s__Ruminococcaceae_bacterium_D16",22.2680778649091,13.8367936981014,1.6093379977158,0.107542454738925
"s__Coprococcus_catus",-4.64458621117759,2.89115885602762,-1.60647907723726,0.108168688444065
"s__Parasutterella_excrementihominis",0.867182812579922,0.579385080263039,1.49672962269968,0.134463625091105
"s__Flavonifractor_plautii",-0.289590568178679,0.194219980689922,-1.49104416111038,0.135949901000378
"s__Roseburia_faecis",0.269092674500183,0.18607789134218,1.44612921266045,0.148140963507105
"s__Faecalitalea_cylindroides",-1.38671223962138,1.01518948698861,-1.36596394800623,0.171950279387592
"s__Blautia_producta",8.00698642313226,6.10942408376065,1.31059594380025,0.189994310349666
"s__Paraprevotella_clara",-121.096940037631,92.4158420037756,-1.31034828457964,0.190078040050138
"s__Dialister_invisus",1.12331983887474,0.885736966925677,1.26823185756116,0.204715163413211
"s__Clostridium_sp_CAG_242",-4.64969470457136,3.66786273092344,-1.26768503776605,0.204910450096253
"s__Bacteroides_intestinalis",2.64582077551313,2.11203827149519,1.25273334826459,0.210302765269817
"s__Monoglobus_pectinilyticus",0.732344897333083,0.592418836925366,1.23619448215713,0.216386281251498
"s__Odoribacter_splanchnicus",-0.476174363207887,0.397604556862605,-1.19760791215588,0.231069694414266
"s__Barnesiella_intestinihominis",-0.417414222383586,0.356159873272492,-1.17198554275155,0.241202860579769
"s__Lactobacillus_salivarius",-1.83654905124784,1.59176230364163,-1.15378348076606,0.248588948354678
"s__Clostridium_lavalense",4.29350850112611,3.73662059981128,1.14903517401338,0.250541477080876
"s__Sellimonas_intestinalis",-0.534465345582863,0.473724043379561,-1.12822085569052,0.25922665818086
"s__Bifidobacterium_dentium",-4.89034590773233,4.38936673008237,-1.11413472795894,0.265221392174825
"s__Clostridium_sp_CAG_58",-0.774392547190511,0.702958678093326,-1.10161887365974,0.270627399555754
"s__Parabacteroides_distasonis",0.0859318708012104,0.0781366561795665,1.0997638624787,0.271435021401557
"s__Bacteroides_coprocola",-0.449578715728002,0.41194826450937,-1.09134751729917,0.275119996519493
"s__Bacteroides_thetaiotaomicron",-0.0914090624144375,0.0840129932609477,-1.08803482492901,0.27657973394279
"s__Phascolarctobacterium_sp_CAG_266",1.13445881732466,1.04876038106792,1.08171402906112,0.279379617443548
"s__Clostridium_disporicum",2.40049928583379,2.24866482607125,1.0675220504195,0.285736161875467
"s__Coprobacillus_cateniformis",-5.50314694123955,5.17221488688845,-1.06398265764054,0.287336555891993
"s__Eubacterium_hallii",0.25950613082738,0.247679432006437,1.04775002399325,0.294753793383307
"s__Blautia_obeum",-0.269070649353675,0.257589818016851,-1.0445702063273,0.296221655575514
"s__Streptococcus_salivarius",-0.294688748737471,0.282400174178738,-1.04351475559273,0.296709950458486
"s__Eubacterium_ramulus",-2.22896992307642,2.16568758706471,-1.02922043622066,0.303376101196002
"s__Alistipes_indistinctus",1.84709805410834,1.79754051424731,1.02756963721721,0.304152312802912
"s__Bifidobacterium_adolescentis",0.62463690729409,0.61299908629038,1.01898505440544,0.308210061967366
"s__Clostridium_clostridioforme",-0.286778585465011,0.282865740107209,-1.0138328712283,0.310662507337028
"s__Lactobacillus_paragasseri",-3.80985522570687,3.76381830590438,-1.01223144053747,0.311427406694408
"s__Harryflintia_acetispora",-4.66901268444163,4.67315433133405,-0.999113736333369,0.317739597645069
"s__Intestinibacter_bartlettii",-0.860693965213214,0.866394166363203,-0.993420776164831,0.320504940893445
"s__Dorea_sp_CAG_317",-0.689256371866892,0.694023324222558,-0.993131423412886,0.320645912215619
"s__Asaccharobacter_celatus",-2.44763922235476,2.52300156894563,-0.970129885165961,0.331981754255434
"s__Candidatus_Stoquefichus_sp_KLE1796",-8.49167562941729,8.93331452964179,-0.950562705616253,0.34182640812498
"s__Clostridium_scindens",-3.00734753039175,3.21352620264112,-0.935840363747487,0.34935538589303
"s__Lactococcus_lactis",-18.5770789062944,19.8922873119841,-0.933883500420921,0.350363990762856
"s__Eisenbergiella_tayi",-2.12478730157542,2.3031083232094,-0.922573758326098,0.356229376223632
"s__Anaerotignum_lactatifermentans",-3.66158206174486,3.98550764948515,-0.918724133478422,0.358239883394066
"s__Streptococcus_anginosus_group",-17.7681976519453,19.6542675548255,-0.904037639783877,0.365975443087083
"s__Ruthenibacterium_lactatiformans",-0.237598495075901,0.263375588148469,-0.902128009456833,0.36698887145101
"s__Clostridium_bolteae_CAG_59",1.17275192940286,1.30725024134976,0.897113568854248,0.369658318987371
"s__Bacteroides_eggerthii",-0.0565462074047122,0.063665281800508,-0.888179645256216,0.37444412597517
"s__Eubacterium_siraeum",0.0489593823371315,0.0554696472432468,0.882633742421935,0.377434191467045
"s__Alistipes_shahii",0.339241453206728,0.387155118790217,0.876241683867671,0.38089866015795
"s__Ruminococcaceae_bacterium_D5",2.31888527395269,2.64940050481332,0.875249049639659,0.381438410071829
"s__Dorea_formicigenerans",-0.810490339384782,0.928552984808368,-0.872853087163408,0.382743159449988
"s__Firmicutes_bacterium_CAG_94",0.844646630188211,0.971249204770237,0.869649752133412,0.384491839926666
"s__Bacteroides_faecis",-0.125138557135941,0.144648837388929,-0.865119688445684,0.386973099460026
"s__Veillonella_atypica",-4.87248643555246,5.6380617243403,-0.864213035220465,0.387470872746565
"s__Clostridium_methylpentosum",-214.914259345437,248.879296452294,-0.863528073282836,0.387847191204065
"s__Pseudoflavonifractor_sp_An184",-7.10372208570344,8.25017297963632,-0.861039168904381,0.389216470670458
"s__Flavonifractor_sp_An10",4.13201093702524,4.80828583970204,0.859352183871268,0.390146241862942
"s__Haemophilus_sp_HMSC71H05",-113.601710779489,132.353730412676,-0.858318918743595,0.390716385587697
"s__Holdemania_filiformis",6.37072118436962,7.623190055203,0.835702788233839,0.403322126310513
"s__Turicibacter_sanguinis",-6.38866921653466,7.69038662041218,-0.830734465231898,0.406123651703179
"s__Blautia_coccoides",-2.21148080971901,2.6624651488349,-0.830613993458942,0.406191726992302
"s__Collinsella_stercoris",0.515945587500419,0.636656069037343,0.810399229022595,0.417710760837136
"s__Prevotella_copri",-0.0628828158373628,0.0780878097898203,-0.805283385545285,0.420656167131012
"s__Escherichia_coli",-0.0711716106664957,0.088409267969002,-0.805024318168202,0.420805646809663
"s__Blautia_sp_N6H1_15",-0.881693390627055,1.10841877094213,-0.795451515024091,0.426350903903682
"s__Intestinimonas_butyriciproducens",-0.358183763155405,0.460326690887031,-0.778107744448187,0.436505497525909
"s__Ruminococcus_gnavus",0.197661603036213,0.25479266721764,0.775774299922742,0.437882260942826
"s__Propionibacterium_freudenreichii",-21.7747190223155,28.1842810781228,-0.772583801657354,0.439768733996835
"s__Lawsonibacter_asaccharolyticus",-0.573497041378669,0.746888813693239,-0.767847945857995,0.442577525920442
"s__Lactobacillus_prophage_Lj771",-7.50423413138455,9.84159496560902,-0.762501825934489,0.445760553779043
"s__Turicimonas_muris",-2.23427681904889,2.93938392938432,-0.760117382664224,0.447184423126494
"s__Enterorhabdus_caecimuris",-276.548503762626,366.662569818764,-0.754231619276874,0.450710154401958
"s__Streptococcus_virus_DT1",-33.5885882120439,44.6696350751953,-0.751933347015306,0.452091142959698
"s__Parabacteroides_goldsteinii",-2.41932408066802,3.25257532939617,-0.743818001324247,0.456986588176091
"s__Sutterella_parvirubra",175.605993606027,237.112319405646,0.740602572005566,0.458934448078538
"s__Streptococcus_phage_PH15",-11.1711562425479,15.2183088408823,-0.734060292726993,0.462911992427932
"s__Streptococcus_virus_7201",-20.2516690847161,27.6514064603142,-0.732392007393246,0.463929335759789
"s__Clostridium_asparagiforme",-3.22220538260375,4.43102638962677,-0.727191647999902,0.467108561858826
"s__Parabacteroides_johnsonii",-7.35210768782342,10.1332292908887,-0.725544392292995,0.468118121300079
"s__Enterobacteria_phage_mEp460",10.7111451096614,14.7835159529798,0.724532996327063,0.46873857741268
"s__Streptococcus_lutetiensis",0.0868508942382742,0.126573784320675,0.686168109015664,0.492607105589063
"s__Lactobacillus_rogosae",30.5460818207983,44.5196885293156,0.686125236493606,0.492634138123731
"s__Klebsiella_pneumoniae",-0.044818909348486,0.0654396561084571,-0.684889133191728,0.493413883772723
"s__Clostridium_sp_chh4_2",-200.500412247105,295.308401018564,-0.678952618874197,0.4971678838813
"s__Eggerthella_lenta",-0.217999372105514,0.321656006610485,-0.677740715625759,0.497936105954571
"s__Eubacterium_sp_CAG_274",-4.34890321367672,6.42577846874438,-0.676790093967636,0.498539144163992
"s__Clostridium_saccharolyticum",2.80842690511284,4.15229542470032,0.676355272894757,0.498815107485792
"s__Eisenbergiella_massiliensis",-0.512356999747511,0.76339303650819,-0.671157549577692,0.502120168346618
"s__Firmicutes_bacterium_CAG_646",23.4649809596169,35.0768117264781,0.668959914104853,0.503521049146699
"s__Ruminococcus_bicirculans",-0.305570843249576,0.461224821482211,-0.66252037838636,0.507637779144125
"s__Coprobacter_sp",-1.24136593459219,1.89334698626466,-0.655646293889981,0.512051731801762
"s__Veillonella_sp_T11011_6",73.0466935330469,112.41220586657,0.649811050054041,0.515814280326132
"s__Streptococcus_mutans",6.24517590131116,9.71342395071949,0.642942790615926,0.520261222280534
"s__Clostridium_leptum",0.681117459073815,1.06272443113173,0.640916345875731,0.521577035193748
"s__Anaerotruncus_colihominis",-0.604130460686544,0.944433048745738,-0.639675264952729,0.522383739541314
"s__Haemophilus_parainfluenzae",18.8505128353819,29.7010503385458,0.634674956626629,0.525640430196617
"s__Salmonella_virus_Jersey",-0.780557754200038,1.23533565562965,-0.631858839856921,0.52747912113369
"s__Human_endogenous_retrovirus_K",-0.403682903468588,0.63909258116617,-0.631650116688848,0.527615530526482
"s__Bacteroides_stercoris",-0.0259252271468962,0.0410823939759858,-0.631054440548194,0.528004928901472
"s__Lactobacillus_fermentum",-6.84600194375559,10.8509993028992,-0.630909813248856,0.528099495043811
"s__Desulfovibrio_piger",0.369059409312447,0.589750419993312,0.625789141984218,0.531453254659803
"s__Collinsella_massiliensis",333.186849881853,534.091977456987,0.623837960398284,0.532734007029849
"s__Eubacterium_limosum",11.1727908538371,17.9252208027132,0.623300040585606,0.533087371137858
"s__Actinomyces_oris",-11.6328849134298,18.6831514303901,-0.622640401795795,0.53352085522386
"s__Firmicutes_bacterium_CAG_170",1.72605034666592,2.77912169954755,0.621077640085686,0.534548540375149
"s__Eubacterium_callanderi",8.38864146529008,13.6450683330416,0.614774602848776,0.538703583871134
"s__Enterococcus_faecium",5.63440579652131,9.19289112824812,0.612909009572384,0.539936505657579
"s__Lactobacillus_rhamnosus",-5.28135885106924,8.64634333708908,-0.610819932215101,0.541318796261277
"s__Hungatella_hathewayi",1.2098614485991,1.98089557551405,0.610764880064481,0.54135524678748
"s__Butyricimonas_virosa",-0.622817425397283,1.02074216507135,-0.610161357793767,0.541754924686591
"s__Blautia_hansenii",-1.45899976444212,2.39609466295233,-0.608907397107767,0.542585820903251
"s__Klebsiella_quasipneumoniae",-0.418643169543341,0.69080884164675,-0.60601883517498,0.544502245932351
"s__Oscillibacter_sp_57_20",-0.211800219983714,0.350600478412027,-0.604107047836957,0.545772474111289
"s__Actinomyces_sp_ICM47",156.250262955447,260.374263199569,0.600098723412175,0.548440443309206
"s__Akkermansia_muciniphila",0.0532827003065861,0.0890791749951031,0.598149907759195,0.549739911898933
"s__Veillonella_parvula",-1.24851886199113,2.09517231136542,-0.595902711781002,0.551240221536384
"s__Lactococcus_phage_bIL285",8.59827433821329,14.5065384029977,0.592717166518273,0.553370450978986
"s__Lactobacillus_gasseri",-23.1369600689061,39.101851382066,-0.591710091750741,0.554044737594716
"s__Bifidobacterium_pseudocatenulatum",0.511780094889446,0.870508049900667,0.587909663727802,0.55659292964283
"s__Phascolarctobacterium_succinatutens",-0.593729029064247,1.0103263728896,-0.587660626304491,0.556760108817069
"s__Klebsiella_variicola",-0.128739981839183,0.22422822193996,-0.574147093195319,0.565868267721567
"s__Klebsiella_michiganensis",5.66688287833766,10.0779196131625,0.562306814884325,0.573906995961837
"s__Veillonella_infantium",-12.7796427035918,22.9291870148636,-0.557352630745588,0.577286523053563
"s__Roseburia_sp_CAG_471",70.066654253668,126.214944694585,0.555137542730896,0.578800585418557
"s__Christensenella_minuta",-38.9382449901753,70.4465620338382,-0.552734496418318,0.580445228112129
"s__Gordonibacter_pamelaeae",-0.995833398313545,1.80204677538731,-0.552612402693881,0.580528847353946
"s__Bacteroides_caccae",-0.0820210310374954,0.148563461044846,-0.552094239462663,0.580883788451999
"s__Catenibacterium_mitsuokai",-0.758909432920587,1.40422892939838,-0.540445661695441,0.588889725070655
"s__Roseburia_sp_CAG_309",4.96423543832626,9.18817565118031,0.540285212950686,0.589000354460849
"s__Eubacterium_eligens",0.204308398572108,0.384054473093887,0.531977656518954,0.594741470680108
"s__Lactobacillus_phage_Lrm1",24.6070578600947,46.3244710103252,0.531189181946838,0.595287688765848
"s__Coprobacter_fastidiosus",-0.521930012449576,0.987192772724508,-0.52870120899399,0.597012738377671
"s__Gemmiger_formicilis",0.996335469545272,1.88917334328018,0.527392297318429,0.597921191418673
"s__Bacteroides_finegoldii",-0.103006246995653,0.195682869418957,-0.526393788590234,0.598614630485141
"s__Bifidobacterium_catenulatum",-3.42765381524099,6.62107255225253,-0.517688605311368,0.604675549687476
"s__Anaeromassilibacillus_sp_An250",1.87717770301642,3.63277591961563,0.516733689210051,0.60534207520097
"s__Clostridium_sp_CAG_299",-0.281034826553402,0.546833212808635,-0.513931524220989,0.607299866379612
"s__Lactobacillus_oris",-22.1679974590158,43.5446828485089,-0.509086207749815,0.61069179891171
"s__Clostridium_aldenense",-9.73383816799205,19.4034687500801,-0.501654538854136,0.615910548214881
"s__Bacteroides_salyersiae",0.355568595037467,0.709097984780566,0.501437886821099,0.616062981477211
"s__Lactobacillus_crispatus",-0.69026695810102,1.39698662554087,-0.494111357604279,0.621227537177384
"s__Anaerostipes_caccae",-1.45962994135566,2.95566295134521,-0.493841809903035,0.621417902996759
"s__Paraprevotella_xylaniphila",-0.395440834440128,0.812634513152321,-0.486615850102352,0.626530589043567
"s__Lachnospira_pectinoschiza",0.118517411370462,0.243864102138545,0.485997776348111,0.626968742528265
"s__Escherichia_phage_TL_2011b",-2.10712373746797,4.42403584776545,-0.476289932987831,0.633867836384638
"s__Proteobacteria_bacterium_CAG_139",-0.218710100530854,0.46414720733679,-0.471208481002787,0.637491862889859
"s__Klebsiella_oxytoca",-2.18821223274984,4.72467674776453,-0.463145385297562,0.643260160247061
"s__Lactococcus_phage_BK5_T",-20.0031576180836,43.4640675365652,-0.460222863432085,0.645356261657421
"s__Bifidobacterium_pullorum",-13.9989448462496,30.5283510937514,-0.458555550650585,0.646553362359476
"s__Candidatus_Gastranaerophilales_bacterium",14.9112997849075,32.7462088467313,0.455359576270337,0.648850572064935
"s__Lactococcus_phage_jm3",8.69571274206956,19.527313682283,0.445310239982427,0.656095568758691
"s__Victivallis_vadensis",-52.4538993251814,118.056203603683,-0.44431294353044,0.656816344469237
"s__Methanobrevibacter_smithii",-0.176625884772127,0.399632560660101,-0.441970705491018,0.658510404486179
"s__Bifidobacterium_bifidum",-0.0636861633295532,0.148763660577199,-0.428102959301033,0.668576162356398
"s__Oscillibacter_sp_CAG_241",0.186675317582148,0.437146380809474,0.427031598057558,0.669356312995777
"s__Roseburia_intestinalis",0.0879272365676245,0.208625695753936,0.42145928501219,0.673419736009849
"s__Veillonella_dispar",-1.66471745325217,3.97561949830076,-0.418731584841982,0.675412309731334
"s__Bacteroides_massiliensis",0.0549526084843376,0.134880777197089,0.407416161341067,0.683702359039663
"s__Roseburia_hominis",-0.206597702523587,0.508484660726126,-0.406300756897094,0.684521629326005
"s__Bacteroides_stercorirosoris",-9.57974981530263,23.6223348827606,-0.405537804067534,0.685082236033218
"s__Clostridium_symbiosum",0.170801796740858,0.426493315844201,0.400479422292404,0.688803436819064
"s__Ruminococcus_bromii",0.0237842080283169,0.0597587160424677,0.398004000143085,0.690627237131085
"s__Dielma_fastidiosa",-1.76946899067712,4.56357472277617,-0.38773748610841,0.698210311883285
"s__Escherichia_virus_wV8",0.196875580624423,0.5174655234177,0.38046125145521,0.703603054634483
"s__Bacteroides_uniformis",0.0143579887832292,0.0383372204867418,0.37451825147821,0.708018780289002
"s__Lactobacillus_animalis",4.4033205029645,11.9770006861249,0.367648012917429,0.713135709198046
"s__Absiella_dolichum",-7.69059304368567,20.9794696564143,-0.366577095114238,0.713934496026415
"s__Alistipes_putredinis",0.0261594916627759,0.0719133177089612,0.363764216367341,0.71603408580425
"s__Streptococcus_gordonii",20.0676895562136,55.4234056591588,0.362079690295924,0.717292480217993
"s__Cloacibacillus_evryensis",-0.50955573657149,1.42849950976006,-0.356706973359114,0.721311184546389
"s__Adlercreutzia_equolifaciens",1.22594499467949,3.48832856549574,0.35144195039588,0.725256815116776
"s__Enterococcus_phage_EF62phi",-9.57471016663742,27.3361497864726,-0.350258183446723,0.726144944712978
"s__Bacteroides_clarus",0.102020999253535,0.302262942853506,0.337524005722993,0.735721918806275
"s__Butyricimonas_synergistica",-1.4260647981298,4.43286486352344,-0.321702745749011,0.747677897539329
"s__Clostridiales_bacterium_1_7_47FAA",-9.38607358501654,29.3531209052019,-0.319764076035716,0.749147182071502
"s__Flavonifractor_sp_An100",-15.7234869241678,49.4081689898642,-0.318236584063526,0.750305484038664
"s__Erysipelatoclostridium_ramosum",0.629076289585633,2.03883415752929,0.308547062183794,0.757666095330787
"s__Ruminococcus_lactaris",0.197083901704752,0.643796141355173,0.306127808237396,0.759507335745659
"s__Lactococcus_phage_bIL310",0.834764457313675,2.81028272713539,0.297039315387522,0.766436493624861
"s__Clostridium_spiroforme",-4.5332353029271,15.353598635191,-0.295255556084211,0.767798664937398
"s__Agathobaculum_butyriciproducens",0.399334939117821,1.36410112602503,0.292745846696481,0.769716423648202
